DeviceID	TimeStamp	DeviceType	CurrentStatus
Machine4	2015-04-09 11:35:31.822	Sensor	User Present in Home	
Machine4	2015-04-09 11:35:32.823	Sensor	User Away from Home	
Machine4	2015-04-09 11:35:33.824	Sensor	User Present in Home	
Machine1	2015-05-06 02:19:05.338	Sensor	Temerature is1	
Machine1	2015-05-06 02:19:08.88	Sensor	Temerature is1	
Machine1	2015-05-06 02:19:15.826	Sensor	Temerature is0	
Machine1	2015-05-06 02:19:17.751	Sensor	Temerature is0	
Machine1	2015-05-06 02:19:18.864	Sensor	Temerature is1	
Machine1	2015-05-06 02:19:21.153	Sensor	Temerature is1	
Machine1	2015-05-06 02:19:22.649	Sensor	Temerature is0	
Machine1	2015-05-06 02:19:24.723	Sensor	Temerature is1	
Machine1	2015-05-06 02:29:02.285	Sensor	Temerature is2	
Machine1	2015-05-06 02:29:05.395	Sensor	Temerature is1	
Machine6	2015-05-06 02:36:04.042	Device	Heater is OFF	
Machine6	2015-05-06 02:37:34.411	Device	Heater is OFF	
Machine6	2015-05-06 02:39:30.766	Device	Heater is OFF	
Machine6	2015-05-06 02:39:35.65	Device	Heater is OFF	
Machine1	2015-05-06 02:40:24.536	Sensor	Temerature is12	
Machine6	2015-05-06 02:40:57.706	Device	Heater is OFF	
Machine6	2015-05-06 02:41:19.591	Device	Heater is OFF	
Machine6	2015-05-06 03:21:33.234	Device	Heater is OFF	
